,UID,name,rating,brewery,style,abv
180,120,Unfinished Business,3.83,Perrin Brewing Co.,American Imperial Stout,13.10
181,266,Unstouttd,4.18,Evil Twin Brewing,American Imperial Stout,10.00
182,131,Wizard Burial Ground,3.77,Brewery Vivant,Belgian Quadrupel (Quad),10.00
183,217,Woodmaster,4.0,Short's Brewing Company,English Brown Ale,9.90
184,75,35K,3.84,Against The Grain Brewery & Smokehouse,English Sweet / Milk Stout,7.00
185,349,Blocker,4.03,Smug Brewing,American Pale Ale (APA),5.50
186,279,Blueberry Acai San Marco Foeder,4.0,Aardwolf Brewing Company,American Wild Ale,6.50
187,349,Bourbon Bean Baked,3.96,Sloop Brewing,English Oatmeal Stout,6.00
188,298,Cabin Essence,3.53,Apponaug Brewing Company,Baltic Porter,7.40
189,349,Certified Public Accountant,4.19,Brew Gentlemen,American Pale Ale (APA),5.80
190,349,Clever_Twitter_Name,4.04,Beer'd Brewing Co.,American IPA,8.00
191,349,Coded Tiles,4.02,LIC Beer Project,American Pale Ale (APA),5.00
192,22,Cutting Tiles (Citra),4.48,Trillium Brewing Company,American Imperial IPA,8.50
193,349,Derivative: El Dorado,4.0,Proclamation Ale Company,American Pale Ale (APA),6.00
194,301,Derivative: Vic Secret,4.1,Proclamation Ale Company,American Pale Ale (APA),6.00
195,298,Doug And Scarpetti,3.75,Revival Brewing Co.,American Porter,4.70
196,349,Drayman's Porter,4.02,Berkshire Brewing Company Inc.,American Porter,6.20
197,349,Driving Miss Hazy,3.85,Smug Brewing,New England IPA,6.50
198,349,Fauxmenclature,4.19,Proclamation Ale Company,American Imperial IPA,8.30
199,298,Floodplain Pale,3.75,Apponaug Brewing Company,American Pale Ale (APA),5.20
200,301,Hawaiian King,4.19,Foley Brothers Brewing,American Imperial Stout,9.50
201,25,Higher Burnin',4.21,LIC Beer Project,American IPA,7.00
202,226,Hoppiness Is A Warm Pun,3.75,Brewmaster Jack,New England IPA,8.20
203,292,Imagine the Summit,3.57,Magnify Brewing Company,American Imperial IPA,8.50
204,134,KCBC / Northern Monk - Sohei Scissor Kick,4.0,Kings County Brewers Collective (KCBC),American Imperial IPA,8.00
205,349,Legendary Weapons,4.03,Brew Gentlemen,American IPA,6.10
206,298,Log Cabin Essence,3.83,Apponaug Brewing Company,Baltic Porter,7.30
207,107,Maple Nipple,3.86,Lawson's Finest Liquids,American Amber / Red Ale,8.00
208,82,Michelob Ultra,1.0,Anheuser-Busch,American Light Lager,4.20
209,62,Mocha Merlin,4.06,Firestone Walker Brewing Co.,English Oatmeal Stout,5.50
210,349,Moon Destroyer,4.29,Proclamation Ale Company,American Imperial Stout,11.50
211,349,NanoBoss Hoppy Session Ale,3.87,Newburgh Brewing Company,American Pale Ale (APA),4.20
212,349,Oooh! Raspberries,4.23,Proclamation Ale Company,American Wild Ale,6.90
213,349,Sea Lord,4.02,Southern Prohibition Brewing,American Brown Ale,7.10
214,349,Secret Codes,3.51,Proclamation Ale Company,American Pale Ale (APA),6.00
215,298,Short and Stout,3.79,Smug Brewing,American Stout,7.00
216,349,Smiling High,4.12,Deciduous Brewing Company,American Imperial IPA,7.80
217,120,Strange Old Woods,3.62,Solemn Oath Brewery,American IPA,6.50
218,298,Subduction IPA,4.02,Outer Light Brewing Company,American IPA,7.00
219,41,Sun Destroyer,4.2,Proclamation Ale Company,American Imperial Stout,10.50
220,111,Superhero Sidekicks,4.1,Kings County Brewers Collective (KCBC),American IPA,6.90
221,301,The Subtle Art of Pureeing the World,4.01,Proclamation Ale Company,American Blonde Ale,5.60
222,349,Tiny Brite Tanks,4.53,Proclamation Ale Company,American Imperial IPA,8.40
223,349,Tom Swamp Road,4.22,Honest Weight Artisan Beer,American Stout,6.00
224,131,Virtuoso,4.18,Lord Hobo Brewing Company,New England IPA,8.80
225,298,Weathering Steel,4.24,Apponaug Brewing Company,American IPA,6.50
226,295,You Thirsty?,4.0,Revival Brewing Co.,New England IPA,6.50
227,349,sMAsh,3.75,Gentile Brewing Company,American Pale Ale (APA),5.00
228,1,Alena,3.62,The Alchemist,American IPA,7.70
229,349,Andechser Vollbier Hell,3.95,Klosterbrauerei Andechs,German Helles,4.80
230,9,Barrel-Aged Abraxas,5.0,Perennial Artisan Ales,American Imperial Stout,11.00
231,5,Beelzebub,7.52,The Alchemist,American Imperial Stout,8.00
232,268,"Berliner Weisse w/ Boysenberry, Blueberry & Blackberry",4.09,Aslin Beer Company,Berliner Weisse,3.50
233,41,Butler Flats Lighthouse,4.29,Trillium Brewing Company,American Imperial IPA,8.90
234,41,Cactus,4.25,Tilted Barn Brewery,New England IPA,7.50
235,14,Cantillon Saint Lamvinus,5.0,Brasserie Cantillon,Belgian Fruit Lambic,5.00
236,51,Chaga Stout,4.0,Lone Pine Brewing Company,American Stout,8.00
237,349,Coffee Burnside,4.02,Foundation Brewing Company,American Brown Ale,5.10
238,349,DDH Sensitive Ears,4.38,Definitive Brewing Company,American Pale Ale (APA),5.60
239,295,Double Dry Hopped The Chosen One,5.0,Tilted Barn Brewery,New England IPA,8.50
240,9,Double Nelson,4.52,Hill Farmstead Brewery,New England IPA,8.00
241,5,"Double Seesaw: Plum, Blueberry & Peach",8.42,Trillium Brewing Company,Leipzig Gose,5.50
242,135,Engram,3.85,Bissell Brothers Brewing Co.,American Pale Wheat Ale,5.50
243,349,Fermented #5,3.92,Tilted Barn Brewery,Belgian Saison,5.60
244,38,Fortunate Islands,3.5,Modern Times Beer,American Pale Wheat Ale,5.00
245,349,Fulltime,4.04,Interboro Spirits and Ales,American IPA,6.00
246,349,Hip 2 the Hops #4,4.28,Upper Pass Beer Company,New England IPA,6.50
247,349,Levanta Muertos,3.98,Arizona Wilderness Brewing Co.,Chile Beer,4.20
248,349,Little Foo,3.92,American Solera,Belgian Saison,4.00
249,36,Luscious,4.12,The Alchemist,Russian Imperial Stout,9.20
250,102,Lushsicle,3.94,Frost Beer Works,New England IPA,8.00
251,41,Mas Verde,4.34,River Roost Brewery,New England IPA,6.70
252,301,Milo's Phoenix,4.24,Tilted Barn Brewery,New England IPA,6.80
